Game Date,Home Score,Away Score,Home Odds Close,Away Odds Close,Home Line Close,Away Line Close,Home Team,Away Team
WEEK17,13.00,27.00,7.00,1.11,14.00,-14.00,TEN,DAL
WEEK16,3.00,20.00,2.70,1.50,3.50,-3.50,IND,LAC
WEEK16,16.00,19.00,4.00,1.26,7.50,-7.50,ARZ,TB
WEEK16,51.00,14.00,2.55,1.57,3.00,-3.00,LAR,DEN
WEEK16,20.00,26.00,1.56,2.60,-3.50,3.50,MIA,GB
WEEK16,13.00,10.00,1.77,2.10,-2.00,2.00,PIT,LV
WEEK16,40.00,34.00,1.50,2.70,-4.00,4.00,DAL,PHI
WEEK16,37.00,20.00,1.32,3.50,-6.50,6.50,SF,WAS
WEEK16,17.00,9.00,1.36,3.30,-6.50,6.50,BLT,ATL
WEEK16,37.00,23.00,2.15,1.74,2.50,-2.50,CAR,DET
WEEK16,13.00,35.00,4.25,1.24,8.00,-8.00,CHI,BUF
WEEK16,10.00,17.00,1.57,2.55,-3.00,3.00,CLV,NO
WEEK16,24.00,10.00,1.20,4.75,-10.00,10.00,KC,SEA
WEEK16,27.00,24.00,1.45,2.80,-4.50,4.50,MIN,NYG
WEEK16,18.00,22.00,2.40,1.63,3.00,-3.00,NE,CIN
WEEK16,14.00,19.00,1.59,2.50,-3.00,3.00,TEN,HST
WEEK16,3.00,19.00,1.69,2.25,-2.50,2.50,NYJ,JAX
WEEK15,24.00,12.00,1.27,3.90,-7.50,7.50,GB,LAR
WEEK15,12.00,20.00,1.50,2.70,-4.00,4.00,WAS,NYG
WEEK15,17.00,14.00,1.65,2.35,-3.00,3.00,LAC,TEN
WEEK15,23.00,34.00,2.60,1.56,3.50,-3.50,TB,CIN
WEEK15,24.00,15.00,1.80,2.05,-1.50,1.50,DEN,ARZ
WEEK15,30.00,24.00,1.74,2.15,-2.50,2.50,LV,NE
WEEK15,16.00,24.00,1.69,2.25,-2.50,2.50,CAR,PIT
WEEK15,20.00,25.00,4.10,1.26,8.50,-8.50,CHI,PHI
WEEK15,24.00,30.00,7.50,1.10,14.50,-14.50,HST,KC
WEEK15,40.00,34.00,2.67,1.52,4.00,-4.00,JAX,DAL
WEEK15,21.00,18.00,1.43,2.90,-5.00,5.00,NO,ATL
WEEK15,17.00,20.00,1.74,2.15,-2.00,2.00,NYJ,DET
WEEK15,32.00,29.00,1.28,3.80,-7.00,7.00,BUF,MIA
WEEK15,13.00,3.00,1.65,2.35,-3.00,3.00,CLV,BLT
WEEK15,39.00,36.00,1.50,2.70,-3.50,3.50,MIN,IND
WEEK15,13.00,21.00,2.60,1.56,3.00,-3.00,SEA,SF
WEEK14,13.00,27.00,2.15,1.74,2.50,-2.50,ARZ,NE
WEEK14,23.00,17.00,2.50,1.59,3.00,-3.00,LAC,MIA
WEEK14,24.00,30.00,1.50,2.70,-4.00,4.00,SEA,CAR
WEEK14,35.00,7.00,1.56,2.60,-3.50,3.50,SF,TB
WEEK14,28.00,34.00,4.75,1.20,9.00,-9.00,DEN,KC
WEEK14,20.00,12.00,1.20,4.75,-10.00,10.00,BUF,NYJ
WEEK14,23.00,10.00,1.48,2.75,-4.00,4.00,CIN,CLV
WEEK14,27.00,23.00,1.05,12.25,-17.00,17.00,DAL,HST
WEEK14,34.00,23.00,1.80,2.05,-2.00,2.00,DET,MIN
WEEK14,22.00,48.00,3.70,1.29,7.00,-7.00,NYG,PHI
WEEK14,14.00,16.00,1.77,2.10,-2.00,2.00,PIT,BLT
WEEK14,22.00,36.00,1.57,2.55,-3.00,3.00,TEN,JAX
WEEK14,17.00,16.00,3.30,1.36,6.50,-6.50,LAR,LV
WEEK13,17.00,16.00,1.57,2.55,-3.00,3.00,TB,NO
WEEK13,54.00,19.00,1.18,5.25,-11.00,11.00,DAL,IND
WEEK13,27.00,24.00,2.25,1.68,2.50,-2.50,CIN,KC
WEEK13,27.00,20.00,1.68,2.25,-2.50,2.50,LV,LAC
WEEK13,23.00,27.00,3.50,1.32,6.50,-6.50,LAR,SEA
WEEK13,33.00,17.00,1.41,3.00,-5.00,5.00,SF,MIA
WEEK13,16.00,19.00,2.00,1.83,1.50,-1.50,ATL,PIT
WEEK13,10.00,9.00,1.25,4.10,-9.00,9.00,BLT,DEN
WEEK13,19.00,28.00,2.65,1.54,3.50,-3.50,CHI,GB
WEEK13,40.00,14.00,1.86,1.95,-1.00,1.00,DET,JAX
